Title,City,Latitude,Longitude,Date,Severity,Type of threat,Attendees,Reported via,Reported incidents,Estimated cost,Confirmed %,Turnout rate,Priority,Police informed?,Notes
Online abuse in Leeds #1,Leeds,53.84557,-1.53564,2000-09-17,Critical,Online abuse,500-1000,Local branch,76,11435,66.4,0.669,4,Yes,
Banner drop in Southampton #2,Southampton,51.02575,-1.45385,2026-11-05,High,Banner drop,10-50,Press report,79,18979,51.3,0.105,1,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Assault in Swansea #3,Swansea,51.60932,-4.04074,2009-10-26,Low,Assault,500-1000,Anonymous tip,32,16886,92.2,0.798,4,No,Linked to a wider pattern of activity across the region according to partner organisations
Banner drop in Stoke-on-Trent #4,Stoke-on-Trent,52.97306,-2.20365,2011-11-06,High,Banner drop,100-500,Anonymous tip,3,4345,37.0,0.234,3,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Stickering in Nottingham #5,Nottingham,52.95674,-1.17791,2005-08-09,Low,Stickering,1-10,Partner organisation,183,3161,40.4,0.937,1,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Leafleting in Hull #6,Hull,53.82981,-0.24187,2009-03-23,Low,Leafleting,10-50,Social media,58,2017,35.9,0.908,1,Yes,Second occurrence at this location this year; residents have asked for a coordinated response
Harassment in Glasgow #7,Glasgow,55.93500,-4.28954,2019-05-02,,Harassment,1-10,Social media,140,7887,31.8,0.188,1,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Assault in Belfast #8,Belfast,54.59849,-5.95652,2011-10-09,Low,Assault,1-10,Local branch,115,4420,54.2,0.950,1,No,
Online abuse in York #9,York,54.00675,-1.05368,2006-02-21,,Online abuse,100-500,Partner organisation,190,9802,70.4,0.693,2,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Online abuse in Stoke-on-Trent #10,Stoke-on-Trent,53.05880,-2.20781,2008-07-15,,Online abuse,1-10,Press report,17,742,63.4,0.660,5,Yes,
Demonstration in Dundee #11,Dundee,56.40580,-2.91838,2023-04-18,Low,Demonstration,50-100,Local branch,12,13600,16.5,0.223,3,No,Linked to a wider pattern of activity across the region according to partner organisations
Harassment in Norwich #12,Norwich,52.67994,1.37393,2025-12-22,Moderate,Harassment,500-1000,Press report,166,3295,25.7,0.458,5,,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Demonstration in Plymouth #13,Plymouth,50.50351,-4.22059,2022-05-02,,Demonstration,50-100,Social media,93,5281,80.0,0.767,3,Yes,
Online abuse in York #14,York,53.99018,-1.11144,2016-11-21,Moderate,Online abuse,50-100,Local branch,191,7945,24.8,0.067,2,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Harassment in Southampton #15,Southampton,50.92336,-1.45099,2015-03-15,Low,Harassment,10-50,Social media,106,11440,2.4,0.608,2,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Online abuse in Stoke-on-Trent #16,Stoke-on-Trent,52.98645,-2.12260,2012-09-18,Critical,Online abuse,100-500,Social media,187,14146,91.3,0.319,3,No,Second occurrence at this location this year; residents have asked for a coordinated response
Online abuse in Swansea #17,Swansea,51.54287,-3.96176,2023-10-10,Low,Online abuse,50-100,Anonymous tip,81,12394,4.6,0.464,3,No,Second occurrence at this location this year; residents have asked for a coordinated response
Assault in Swansea #18,Swansea,51.68608,-3.93620,2017-07-03,Low,Assault,1-10,Anonymous tip,107,905,28.4,0.069,4,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Harassment in Portsmouth #19,Portsmouth,50.87229,-1.05686,2022-01-08,High,Harassment,10-50,Anonymous tip,166,4180,46.0,0.988,4,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Vandalism in Swansea #20,Swansea,51.63156,-4.00042,2019-05-07,Low,Vandalism,10-50,Local branch,153,17278,41.6,0.526,5,Yes,
Demonstration in York #21,York,53.92982,-1.06511,2025-11-25,Moderate,Demonstration,50-100,Press report,193,11208,66.4,0.529,4,Yes,
Online abuse in Southampton #22,Southampton,50.95977,-1.44108,2000-04-25,Critical,Online abuse,500-1000,Anonymous tip,30,10581,5.1,0.082,5,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Demonstration in Bradford #23,Bradford,53.76365,-1.81262,2023-10-22,High,Demonstration,50-100,Anonymous tip,114,1148,71.5,0.984,4,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Assault in Belfast #24,Belfast,54.61031,-5.88375,2016-02-10,Moderate,Assault,1-10,Press report,26,16840,19.9,0.722,1,No,Details unverified — cross-check with the regional organiser before publishing anywhere
Online abuse in Manchester #25,Manchester,53.59847,-2.22594,2026-06-07,Critical,Online abuse,10-50,Partner organisation,169,15940,5.7,0.552,4,Yes,Second occurrence at this location this year; residents have asked for a coordinated response
Vandalism in Bradford #26,Bradford,53.82229,-1.74527,2012-03-04,Moderate,Vandalism,1-10,Partner organisation,83,15806,89.5,0.378,1,No,Second occurrence at this location this year; residents have asked for a coordinated response
Stickering in Cardiff #27,Cardiff,51.59544,-3.14530,2016-06-16,Critical,Stickering,50-100,Social media,9,5788,51.7,0.650,1,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Online abuse in Bristol #28,Bristol,51.54853,-2.52188,2013-05-28,Critical,Online abuse,500-1000,Press report,38,7764,5.2,0.415,2,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Leafleting in Swansea #29,Swansea,51.62949,-3.88996,,Low,Leafleting,100-500,Press report,177,8721,59.4,0.647,2,Yes,Details unverified — cross-check with the regional organiser before publishing anywhere
Online abuse in Newcastle #30,Newcastle,54.93797,-1.64347,2017-12-17,Low,Online abuse,500-1000,Partner organisation,61,12859,28.5,0.026,1,Yes,Second occurrence at this location this year; residents have asked for a coordinated response
Online abuse in Bristol #31,Bristol,51.39174,-2.59491,2024-04-04,Critical,Online abuse,100-500,Social media,180,8743,23.4,0.084,4,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Harassment in London #32,London,51.48883,-0.10374,2001-01-25,Moderate,Harassment,50-100,Partner organisation,31,16160,71.6,0.636,4,No,Second occurrence at this location this year; residents have asked for a coordinated response
Leafleting in Leicester #33,Leicester,52.62756,-1.17072,2023-05-10,,Leafleting,1-10,Anonymous tip,29,17910,53.5,0.119,1,No,Second occurrence at this location this year; residents have asked for a coordinated response
Stickering in Hull #34,Hull,53.76153,-0.27834,2016-02-20,Moderate,Stickering,500-1000,Social media,11,5901,67.2,0.845,3,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Demonstration in Leeds #35,Leeds,53.87649,-1.49140,2005-02-27,Low,Demonstration,500-1000,Anonymous tip,6,392,63.4,0.132,2,No,Linked to a wider pattern of activity across the region according to partner organisations
Assault in Edinburgh #36,Edinburgh,55.92903,-3.20476,2021-01-25,Low,Assault,100-500,Social media,71,18299,52.7,0.394,1,,Second occurrence at this location this year; residents have asked for a coordinated response
Online abuse in London #37,London,51.46849,-0.11557,2014-02-28,Critical,Online abuse,500-1000,Local branch,59,13874,74.7,0.283,1,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Demonstration in Nottingham #38,Nottingham,52.90106,-1.06657,2005-05-11,Low,Demonstration,50-100,Anonymous tip,178,14003,53.4,0.936,1,No,
Stickering in Portsmouth #39,Portsmouth,50.82453,-1.09805,2016-12-19,Low,Stickering,500-1000,Partner organisation,114,11177,33.9,0.083,5,No,
Demonstration in Aberdeen #40,Aberdeen,57.11607,-2.00987,2002-09-28,Low,Demonstration,10-50,Partner organisation,158,2805,4.6,0.992,2,Yes,Linked to a wider pattern of activity across the region according to partner organisations
Harassment in Bradford #41,Bradford,53.79044,-1.67314,2002-07-02,,Harassment,1-10,Partner organisation,199,14900,86.9,0.281,1,No,Linked to a wider pattern of activity across the region according to partner organisations
Demonstration in Liverpool #42,Liverpool,53.50462,-2.92989,2026-06-07,Low,Demonstration,10-50,Social media,51,9802,13.2,0.708,1,,Linked to a wider pattern of activity across the region according to partner organisations
Online abuse in Hull #43,Hull,53.81192,-0.36007,2017-09-03,,Online abuse,10-50,Partner organisation,24,13714,20.1,0.625,1,,Linked to a wider pattern of activity across the region according to partner organisations
Online abuse in Birmingham #44,Birmingham,52.57152,-1.94218,2005-10-13,Moderate,Online abuse,50-100,Press report,6,13204,28.1,0.626,1,No,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
Assault in Cardiff #45,Cardiff,51.50014,-3.17880,2009-12-03,High,Assault,10-50,Local branch,98,10797,17.4,0.911,4,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Stickering in Belfast #46,Belfast,54.61599,-5.86397,2023-04-08,,Stickering,50-100,Press report,57,7883,64.7,0.251,1,No,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Vandalism in Hull #47,Hull,53.76658,-0.31510,2009-05-27,High,Vandalism,500-1000,Social media,54,17566,16.4,0.362,5,Yes,Council contacted; awaiting a response about CCTV coverage of the surrounding streets
Stickering in Leicester #48,Leicester,52.72448,-1.20564,2016-02-27,Moderate,Stickering,1-10,Anonymous tip,124,4128,98.8,0.694,3,Yes,Reported by a local member who witnessed the event first-hand and followed up with photos the next day
