ONS ID,ONS region ID,Constituency name,Member first name,Member surname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,Con,Lab,LD,RUK,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner,Con %,Lab %,LD %,RUK %,Green %,SNP %,PC %,DUP %,SF %,SDLP %,UUP %,APNI %,Other %,Other Win %
W07000081,W92000004,Aberafan Maesteg,Stephen,Kinnock,Male,Lab hold,Lab,RUK,72580,35755,79,10354,2903,17838,916,7484,1094,0,4719,0,0,0,0,0,801,0,8.10124462800692,49.7795389853212,2.55623151197187,20.8851928336217,3.05296645643802,0,13.1690573198638,0,0,0,0,0,2.23530725009767,0
S14000060,S92000003,Aberdeen North,Kirsty,Blackman,Female,SNP hold,SNP,Lab,75925,42095,115,1760,5881,12773,2583,3781,1275,14533,0,0,0,0,0,0,1269,0,13.9327173655532,30.2606017531391,6.11940298507463,8.95759298744373,3.02061122956645,34.4302298033641,0,0,0,0,0,0,3.00639658848614,0
S14000061,S92000003,Aberdeen South,Stephen,Flynn,Male,SNP hold,SNP,Lab,77328,46345,178,3758,11300,11455,2921,3199,1609,15213,0,0,0,0,0,0,648,0,24.2890613245062,24.6222298647981,6.27861487866217,6.87616877673409,3.45850439567526,32.6999548610365,0,0,0,0,0,0,1.39285944586549,0
S14000062,S92000003,Aberdeenshire North and Moray East,Seamus,Logan,Male,SNP gain from Con,SNP,Con,70058,38188,170,942,12513,3876,2782,5562,0,13455,0,0,0,0,0,0,0,0,32.6216173940247,10.1048021273268,7.25272433390688,14.5002346316283,0,35.0774284373534,0,0,0,0,0,0,0,0
S14000063,S92000003,Airdrie and Shotts,Kenneth,Stevenson,Male,Lab gain from SNP,Lab,SNP,70199,36666,95,7547,1696,18871,725,2971,0,11324,0,0,0,0,0,0,1079,0,4.61358504937298,51.3342944968853,1.9721987976388,8.08193465901363,0,30.8043850820163,0,0,0,0,0,0,2.93517586572727,0
E14001063,E12000008,Aldershot,Alex,Baker,Female,Lab gain from Con,Lab,Con,78553,48544,179,5683,14081,19764,4052,8210,2155,0,0,0,0,0,0,0,282,0,28.9001087781951,40.5640046795148,8.31640087843524,16.8503581470763,4.4229624612606,0,0,0,0,0,0,0,0.578782094698602,0
E14001064,E12000005,Aldridge-Brownhills,Wendy,Morton,Female,Con hold,Con,Lab,70268,40912,156,4294,15901,11607,1755,9903,1746,0,0,0,0,0,0,0,0,0,38.7187104314795,28.2628810752898,4.27340021427876,24.1136651407422,4.25148534138502,0,0,0,0,0,0,0,0,0
S14000064,S92000003,Alloa and Grangemouth,Brian,Leishman,Male,Lab gain from SNP,Lab,SNP,70680,41201,74,6122,3127,18039,1151,3804,1421,11917,0,0,0,0,0,0,1742,0,7.57601453664446,43.7044215626893,2.78861296184131,9.21623258631133,3.442761962447,28.8721986674743,0,0,0,0,0,0,4.22047244094488,0
E14001065,E12000002,Altrincham and Sale West,Connor,Rand,Male,Lab gain from Con,Lab,Con,74025,51452,184,4174,16624,20798,4727,4961,3699,0,0,0,0,0,0,0,643,0,32.1945929196684,40.2781005500039,9.15446587652026,9.60763808195832,7.16360678596328,0,0,0,0,0,0,0,1.2452552482764,0
W07000082,W92000004,Alyn and Deeside,Mark,Tami,Male,Lab hold,Lab,RUK,75790,43392,135,8794,7892,18395,2065,9601,1926,0,1938,0,0,0,0,0,1575,0,18.1312748409033,42.2611252785627,4.74418177223333,22.0575734601512,4.42483975463505,0,4.45240884967951,0,0,0,0,0,3.61844372458474,0
E14001066,E12000004,Amber Valley,Linsey,Farnsworth,Female,Lab gain from Con,Lab,RUK,71546,42531,105,3554,10725,15746,1590,12192,2278,0,0,0,0,0,0,0,0,0,25.1547987616099,36.9312318228727,3.72924289332958,28.5955530537574,5.34290271132376,0,0,0,0,0,0,0,0,0
S14000065,S92000003,Angus and Perthshire Glens,Dave,Doogan,Male,SNP hold,SNP,Con,76668,47348,224,4870,14272,6799,3156,3246,0,19142,0,0,0,0,0,0,733,0,30.0008408307408,14.2920205162701,6.63415454469015,6.82334146136383,0,40.2379550996384,0,0,0,0,0,0,1.54082233246447,0
S14000066,S92000003,Arbroath and Broughty Ferry,Stephen,Gethins,Male,SNP hold,SNP,Lab,76149,44117,161,859,6841,14722,2249,3800,0,15581,0,0,0,0,0,0,924,0,15.4501106644383,33.2490175708027,5.079271873165,8.58214011472966,0,35.1890329283165,0,0,0,0,0,0,2.08681512263427,0
S14000067,S92000003,"Argyll, Bute and South Lochaber",Brendan,O'Hara,Male,SNP hold,SNP,Con,71756,44862,216,6232,9350,8585,7359,3045,0,15582,0,0,0,0,0,0,941,0,20.7418252806247,19.0447668485736,16.3250366032211,6.75495807267403,0,34.566750964994,0,0,0,0,0,0,2.08749279027464,0
E14001067,E12000008,Arundel and South Downs,Andrew,Griffith,Male,Con hold,Con,LD,77969,54740,214,12134,22001,9782,9867,7391,5515,0,0,0,0,0,0,0,184,0,40.0353022527932,17.8003421043054,17.9550169232449,13.4494304327256,10.0356661935437,0,0,0,0,0,0,0,0.334825490410161,0
E14001068,E12000004,Ashfield,Lee,Anderson,Male,RUK gain from Con,RUK,Lab,68929,39882,102,5508,3271,11554,619,17062,1100,0,0,0,0,0,0,0,6276,0,8.18077230892357,28.8965586234494,1.54811924769908,42.672068827531,2.75110044017607,0,0,0,0,0,0,0,15.6962785114046,0
E14001069,E12000008,Ashford,Sojan,Joseph,Male,Lab gain from Con,Lab,Con,76233,46975,164,1779,13483,15262,2445,10141,4355,0,0,0,0,0,0,0,1289,0,28.6026432465687,32.3765883875347,5.18678800992809,21.512972273489,9.23863467617047,0,0,0,0,0,0,0,2.73446615329133,0
E14001070,E12000002,Ashton-under-Lyne,Angela,Rayner,Female,Lab hold,Lab,RUK,71002,35461,136,6791,4375,15575,1411,8784,2481,0,0,0,0,0,0,0,2835,0,12.2903615473214,43.7536871084642,3.96381717560469,24.6762367615248,6.96968845689243,0,0,0,0,0,0,0,7.96415428266427,0
E14001071,E12000008,Aylesbury,Laura,Kyrke-Smith,Female,Lab gain from Con,Lab,Con,79169,49940,213,630,14451,15081,10440,6746,2590,0,0,0,0,0,0,0,632,0,28.8138296811756,30.0699858433194,20.8163021155265,13.4508404282894,5.16419755548023,0,0,0,0,0,0,0,1.26014395948398,0
S14000107,S92000003,"Ayr, Carrick and Cumnock",Elaine,Stewart,Female,Lab gain from SNP,Lab,SNP,70340,40936,120,4154,9247,14930,1081,3544,886,10776,0,0,0,0,0,0,472,0,22.5228955572876,36.3649649259548,2.63298908807482,8.63211223694466,2.15802805923617,26.2470771628995,0,0,0,0,0,0,1.14964925954793,0
E14001072,E12000008,Banbury,Sean,Woodcock,Male,Lab gain from Con,Lab,Con,73250,48178,187,3256,15212,18468,4352,6284,2615,0,0,0,0,0,0,0,1247,0,31.4524966401323,38.184637651194,8.99824253075571,12.9928667424791,5.40680243978083,0,0,0,0,0,0,0,2.57831076191461,0
W07000083,W92000004,Bangor Aberconwy,Claire,Hughes,Female,Lab gain from Con,Lab,PC,70527,41660,154,4896,9036,14008,1524,6091,1361,0,9112,0,0,0,0,0,528,0,21.6099870856651,33.5007413784857,3.64471229731669,14.5668914717559,3.25489070646195,0,21.7917443918305,0,0,0,0,0,1.26273496914909,0
E14001073,E12000007,Barking,Nesil,Caliskan,Female,Lab hold,Lab,RUK,79822,36477,120,11054,4294,16227,1015,5173,4988,0,0,0,0,0,0,0,4780,0,11.7332021750417,44.3396999754078,2.77345137579583,14.135038391125,13.6295324753395,0,0,0,0,0,0,0,13.0611798781321,0
E14001074,E12000003,Barnsley North,Dan,Jarvis,Male,Lab hold,Lab,RUK,78274,36894,114,7811,3083,18610,1336,10799,1805,0,0,0,0,0,0,0,1261,0,8.33063121487246,50.2864245568526,3.61003026372676,29.180177258971,4.87732382187635,0,0,0,0,0,0,0,3.40737137916126,0
E14001075,E12000003,Barnsley South,Stephanie,Peacock,Female,Lab hold,Lab,RUK,75853,35082,78,4748,3247,16399,1172,11651,1521,0,0,0,0,0,0,0,1092,0,9.2349260523322,46.6410693970421,3.33333333333333,33.1370875995449,4.3259385665529,0,0,0,0,0,0,0,3.10580204778157,0
E14001076,E12000002,Barrow and Furness,Michelle,Scrogham,Female,Lab gain from Con,Lab,Con,74980,42221,141,5324,13213,18537,1680,7035,1466,0,0,0,0,0,0,0,290,0,31.1906897691327,43.7585571974883,3.96581842217081,16.6068646428403,3.46064869458477,0,0,0,0,0,0,0,0.6845757990652,0
E14001077,E12000006,Basildon and Billericay,Richard,Holden,Male,Con hold,Con,Lab,76873,42124,176,20,12905,12885,2292,11354,2123,0,0,0,0,0,0,0,565,0,30.5082742316785,30.4609929078014,5.41843971631206,26.8416075650118,5.01891252955083,0,0,0,0,0,0,0,1.33569739952719,0
E14001078,E12000008,Basingstoke,Luke,Murphy,Male,Lab gain from Con,Lab,Con,78487,48989,189,6484,14438,20922,3176,6314,3568,0,0,0,0,0,0,0,571,0,29.358656309732,42.5434137215828,6.4581723534914,12.8390743828541,7.25527674976616,0,0,0,0,0,0,0,1.16108829151246,0
E14001079,E12000004,Bassetlaw,Jo,White,Female,Lab gain from Con,Lab,Con,78161,44878,150,5768,12708,18476,1996,9751,1947,0,0,0,0,0,0,0,0,0,28.222439371058,41.0322466021142,4.43279737052501,21.6554144088123,4.32397619259128,0,0,0,0,0,0,0,0,0
E14001080,E12000009,Bath,Wera,Hobhouse,Female,LD hold,LD,Lab,69662,48130,192,11218,7659,8665,19883,3798,5952,0,0,0,0,0,0,0,2173,0,15.8499234303216,17.9317909026944,41.146889615496,7.85977401597616,12.3173709697446,0,0,0,0,0,0,0,4.49691651835603,0
S14000068,S92000003,Bathgate and Linlithgow,Kirsteen,Sullivan,Female,Lab gain from SNP,Lab,SNP,72185,42065,92,8323,3144,19774,2171,3524,1390,11451,0,0,0,0,0,0,611,0,7.45783618378917,46.9056147259055,5.14979718670683,8.35922859786038,3.29719856726048,27.1627487724459,0,0,0,0,0,0,1.4493441184145,0
E14001081,E12000007,Battersea,Marsha,De Cordova,Female,Lab hold,Lab,Con,72827,47082,237,12039,10944,22983,4826,2825,4239,0,0,0,0,0,0,0,1265,0,23.1281303493311,48.5703417231979,10.1988630359898,5.97011771170143,8.95834654155836,0,0,0,0,0,0,0,2.67334474523976,0
E14001082,E12000008,Beaconsfield,Joy,Morrissey,Female,Con hold,Con,LD,72751,47726,162,5455,18494,7216,13039,6055,1977,0,0,0,0,0,0,0,945,0,38.6192783160708,15.0684931506849,27.2281156030738,12.644086201136,4.12838289341798,0,0,0,0,0,0,0,1.97335449381891,0
E14001083,E12000007,Beckenham and Penge,Liam,Conlon,Male,Lab hold,Lab,Con,77198,52222,218,12905,12848,25753,4436,5355,3830,0,0,0,0,0,0,0,0,0,24.5003813882532,49.1094584286804,8.45919145690313,10.2116704805492,7.30358504958047,0,0,0,0,0,0,0,0,0
E14001084,E12000006,Bedford,Mohammad,Yasin,Male,Lab hold,Lab,Con,72478,40659,210,9430,8912,18342,4025,4548,2394,0,0,0,0,0,0,0,2438,0,21.8062590227312,44.8799823827351,9.84854045853826,11.1282390075607,5.85774058577406,0,0,0,0,0,0,0,5.96540164917174,0
N05000001,N92000002,Belfast East,Gavin,Robinson,Male,DUP hold,DUP,APNI,72917,42706,184,2676,0,0,0,0,1077,0,0,19894,0,619,1818,17218,2080,0,0,0,0,0,2.51107484262066,0,0,46.3837724411285,0,1.44322685940779,4.23875029144323,40.1445558405223,4.84961529494055,0
N05000002,N92000002,Belfast North,John,Finucane,Male,SF hold,SF,DUP,74240,40452,293,5612,0,0,0,0,1206,0,0,12062,17674,1413,0,4274,3823,0,0,0,0,0,2.95987237697877,0,0,29.6036323475273,43.3771014848448,3.46791017302737,0,10.4896306295251,9.38274634924531,0
N05000003,N92000002,Belfast South and Mid Down,Claire,Hanna,Female,SDLP hold,SDLP,APNI,74749,43491,266,12506,0,0,0,0,1577,0,0,6859,0,21345,2653,8839,2218,0,0,0,0,0,3.60399478940512,0,0,15.6752062527139,0,48.7807665059305,6.06302991521357,20.2001965399822,5.06890326119249,0
N05000004,N92000002,Belfast West,Paul,Maskey,Male,SF hold,SF,PBPA,75346,39743,256,15961,0,0,0,0,451,0,0,4304,21009,4318,461,1077,8123,0,0,0,0,0,1.12752818820471,0,0,10.7602690067252,52.5238130953274,10.795269881747,1.15252881322033,2.69256731418285,20.3080077001925,0
E14001085,E12000007,Bermondsey and Old Southwark,Neil,Coyle,Male,Lab hold,Lab,LD,69482,37603,180,7787,2879,16857,9070,3397,4477,0,0,0,0,0,0,0,923,0,7.61982902363497,44.6153031786782,24.0055051213509,8.99081597543869,11.8492443691607,0,0,0,0,0,0,0,2.44289759944949,0
S14000108,S92000003,"Berwickshire, Roxburgh and Selkirk",John,Lamont,Male,Con hold,Con,SNP,76438,46558,138,6599,18872,6311,3686,3340,1526,12273,0,0,0,0,0,0,550,0,40.4145965393181,13.5150762377934,7.89360973102621,7.15264690765804,3.26794586260065,26.282765119068,0,0,0,0,0,0,1.17783107760836,0
E14001086,E12000007,Bethnal Green and Stepney,Rushanara,Ali,Female,Lab hold,Lab,Ind,81439,46647,320,1689,1920,15896,4777,1964,6391,0,0,0,0,0,0,0,15699,0,4.08797666446654,33.8450401345626,10.1709711073733,4.18165946302723,13.6074264909404,0,0,0,0,0,0,0,33.4255966955522,0
E14001087,E12000003,Beverley and Holderness,Graham,Stuart,Male,Con hold,Con,Lab,71994,44897,144,124,15501,15377,3386,8198,1647,0,0,0,0,0,0,0,788,0,34.4153104948824,34.1400057725184,7.51759508003819,18.2011944672632,3.65666836881952,0,0,0,0,0,0,0,1.74951710663618,0
E14001088,E12000008,Bexhill and Battle,Kieran,Mullan,Male,Con hold,Con,Lab,72198,47750,188,2657,16186,13529,3473,7929,2972,0,0,0,0,0,0,0,3661,0,33.7644457424173,28.2218699153073,7.24477450039635,16.5401143143227,6.1996745796654,0,0,0,0,0,0,0,7.63694772414369,0
E14001089,E12000007,Bexleyheath and Crayford,Daniel,Francis,Male,Lab gain from Con,Lab,Con,70297,43461,118,2114,13603,15717,2204,9861,2076,0,0,0,0,0,0,0,0,0,31.214575827807,36.0655361527341,5.05748181463549,22.6278712223778,4.76376236260584,0,0,0,0,0,0,0,0,0
E14001090,E12000008,Bicester and Woodstock,Calum,Miller,Male,LD gain from Con,LD,Con,74353,50219,167,4958,14461,8236,19419,5408,2404,0,0,0,0,0,0,0,291,0,28.7004326598658,16.3458103441432,38.5404675902036,10.7331401579804,4.77116659389513,0,0,0,0,0,0,0,0.577541380542214,0
